83,66,14
52,77,95
7,92,59
96,93,84
4,97,95
19,92,18
84,3,68
88,28,20
67,72,24
96,31,74
88,80,74
9,60,11
27,45,74
68,53,24
43,83,68
68,59,66
7,1,32
71,44,19
60,33,14
5,33,40
13,92,4
21,68,16
74,18,93
14,1,100
83,29,2
39,45,97
87,77,19
28,88,44
35,37,36
43,21,84
23,10,73
19,30,30
68,10,81
41,33,16
38,94,80
66,32,47
87,6,26
65,7,12
33,67,64
85,7,89
83,65,21
86,60,56
77,92,56
3,79,29
10,2,78
5,41,79
28,25,80
100,55,74
92,54,89
77,85,10
19,70,35
9,70,6
26,81,71
16,32,85
80,65,66
91,80,84
48,14,52
1,58,82
44,89,66
53,83,86
86,61,46
44,100,96
85,5,3
95,12,11
29,69,47
81,45,35
55,87,15
20,66,26
20,50,16
17,75,4
30,18,23
72,48,12
27,26,75
8,28,99
12,33,27
39,94,73
90,58,37
65,60,48
57,54,100
70,32,32
67,74,24
49,26,51
91,51,82
70,56,21
51,27,42
91,97,18
69,12,73
80,37,16
16,56,41
59,83,76
63,63,42
48,67,45
77,95,73
65,34,82
16,41,64
71,95,81
28,83,39
41,11,54
72,7,94
73,10,77
23,45,5
62,40,67
90,83,83
53,85,32
54,35,58
74,73,25
82,36,95
82,39,97
55,87,89
33,6,2
79,26,97
70,72,3
32,62,7
88,89,97
42,12,5
33,5,69
14,36,82
50,73,20
3,89,31
6,39,59
34,76,35
61,32,70
24,91,42
91,3,35
9,90,6
44,58,58
7,31,76
77,64,35
86,13,91
8,12,18
73,4,82
23,42,23
88,91,51
18,94,79
66,74,55
3,13,27
7,46,99
72,34,25
28,46,56
44,98,36
60,88,44
49,11,13
4,79,83
24,96,64
65,58,87
17,80,4
7,87,41
73,68,100
11,46,45
37,33,8
24,1,38
54,70,56
25,98,99
2,77,62
45,27,14
14,91,35
49,43,29
70,13,91
79,6,65
39,67,55
1,99,72
73,29,69
49,8,38
36,72,85
3,27,17
61,4,23
24,7,50
3,48,77
61,95,17
28,89,39
9,10,99
44,48,69
77,46,52
82,40,13
69,20,39
49,91,3
74,12,45
96,63,65
71,39,59
84,33,76
6,73,5
72,1,82
53,6,72
74,88,63
90,52,40
97,35,32
10,94,72
66,74,83
94,54,31
40,39,19
1,85,29
79,75,65
96,67,42
70,22,4
79,14,39
1,83,24
9,93,51
9,94,27
37,25,59
42,19,70
56,20,21
33,76,12
4,37,89
26,92,57
22,8,37
28,44,79
11,70,4
29,6,55
48,38,15
97,58,47
64,96,65
35,19,20
71,21,82
31,26,38
54,8,62
12,87,69
60,48,83
93,85,78
28,34,96
60,50,6
27,71,92
36,57,93
33,92,79
48,30,65
86,34,53
69,13,85
90,39,94
20,23,52
43,57,73
11,12,66
87,5,76
33,2,50
31,65,91
61,42,69
93,84,84
9,94,29
69,4,45
98,87,97
86,24,44
22,65,32
65,89,53
86,62,35
16,11,8
47,96,41
14,24,54
48,90,15
48,98,91
17,60,2
62,63,6
57,9,71
75,38,52
54,69,49
29,8,70
63,6,35
41,78,52
6,47,97
12,35,21
30,22,15
83,74,91
11,19,66
40,49,67
40,22,25
38,68,20
36,95,91
61,76,27
66,76,52
19,10,14
68,33,88
62,16,83
80,85,90
38,77,3
69,98,1
73,34,28
13,21,33
75,76,96
56,49,18
23,64,32
42,40,34
31,95,25
57,84,30
60,7,4
19,29,75
65,59,50
96,76,32
14,34,91
61,37,46
36,76,52
12,46,1
44,9,17
37,75,36
79,84,47
49,75,26
21,62,19
18,77,75
1,83,85
71,12,33
74,34,54
83,42,96
43,12,3
96,39,68
92,78,24
9,3,2
78,67,73
52,95,67
65,19,4
18,14,89
9,94,54
1,67,26
73,5,53
17,81,85
84,7,14
50,93,37
46,96,43
36,31,18
50,53,8
73,78,57
38,67,52
40,80,39
24,11,69
17,37,86
58,50,89
78,40,76
61,76,27
70,70,57
56,55,82
6,86,42
97,86,6
72,34,15
46,49,10
96,90,43
5,94,54
86,40,25
84,90,19
79,49,42
84,31,35
89,14,68
86,48,71
81,2,43
46,88,1
58,69,70
28,100,100
66,27,26
36,19,97
88,1,56
40,34,26
100,47,73
22,84,91
78,78,70
61,52,34
18,42,34
81,85,45
32,22,68
66,56,57
85,28,97
41,13,39
13,19,56
8,68,94
72,93,78
23,17,86
12,98,62
90,70,36
39,58,5
6,64,58
74,92,67
94,7,66
54,73,60
95,33,35
27,39,58
31,71,36
54,62,21
98,28,54
58,29,4
73,90,90
11,4,87
31,62,79
6,74,92
9,8,82
94,45,3
